Test id,File Size,Block Size,Workload Pattern of test,Workload Test Time Sec,Workload Ramp-up Test Time Sec,Start Delay Sec,Thread / Numjobs,OIO / IODepth,Target devices,NUMA nodes
145,,4KB,100% Seq 100% Read,60,10,0,512,1,/dev/null:/dev/null,
146,,4KB,60% Seq 100% Read,60,10,0,512,1,/dev/null:/dev/null,
147,,4KB,30% Seq 100% Read,60,10,0,512,1,/dev/null:/dev/null,
148,,4KB,0% Seq 100% Read,60,10,0,512,1,/dev/null:/dev/null,
149,,4KB,100% Seq 60% Read,60,10,0,512,1,/dev/null:/dev/null,
150,,4KB,60% Seq 60% Read,60,10,0,512,1,/dev/null:/dev/null,
151,,4KB,30% Seq 60% Read,60,10,0,512,1,/dev/null:/dev/null,
152,,4KB,0% Seq 60% Read,60,10,0,512,1,/dev/null:/dev/null,
153,,4KB,100% Seq 30% Read,60,10,0,512,1,/dev/null:/dev/null,
154,,4KB,60% Seq 30% Read,60,10,0,512,1,/dev/null:/dev/null,
155,,4KB,30% Seq 30% Read,60,10,0,512,1,/dev/null:/dev/null,
156,,4KB,0% Seq 30% Read,60,10,0,512,1,/dev/null:/dev/null,
157,,4KB,100% Seq 0% Read,60,10,0,512,1,/dev/null:/dev/null,
158,,4KB,60% Seq 0% Read,60,10,0,512,1,/dev/null:/dev/null,
159,,4KB,30% Seq 0% Read,60,10,0,512,1,/dev/null:/dev/null,
160,,4KB,0% Seq 0% Read,60,10,0,512,1,/dev/null:/dev/null,
